0: Von Spieler 2 4; [164466: Loswerden, 1492: Siegbedingung, 8528: Siegpunkte, ]
1: Personen; []
2: Alter ab 3 Jahren Spielmaterial Dauer; [7090: Kooperative Spielform, ]
3: 10 Minuten; []
4: Von je de gibt es 5 Stück.; []
5: Alle 25 haben die gleiche Rückseite.; []
6: Die Aktionskarten bestehen aus 20 Karten auf denen ein Ballon platzt bzw. verloren geht.; [1292: Zufall, ]
7: 5 Karten auf denen die Mutter abgebildet ist.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
8: Alle 25 Aktionskarten haben eine identische Rückseite.; [1292: Zufall, ]
9: Rückseite Aktionskarten Spielidee; [1292: Zufall, ]
10: In diesem Spiel besitzt jeder Spieler fünf Ballons die vor ihm auf dem Tisch liegen.; [1292: Zufall, 3142: Verlierbedingung, 1492: Siegbedingung, 8528: Siegpunkte, ]
11: Immer wieder mal geht der eine oder andere Ballon kaputt bzw. verloren.; [3142: Verlierbedingung, 1492: Siegbedingung, 8528: Siegpunkte, ]
12: Aber zum Glück gibt ja die liebe Mama die einen verloren gegangenen Ballon zurückholt oder einen neuen Ballon mit bringt.; [1292: Zufall, 3142: Verlierbedingung, ]
13: Wer zum Schluss die meisten Ballons übrig hat ist Sieger.; [1492: Siegbedingung, 8528: Siegpunkte, ]
14: Spielvorbereitung; []
15: Die 25 werden gemischt.; [1292: Zufall, ]
16: Jeder Spieler erhält 5 die er offen vor sich auf den Tisch legt.; [1492: Siegbedingung, 8528: Siegpunkte, ]
17: Bei 2 oder 3 Spielern bleiben Ballons übrig diese werden nicht weiter benötigt und beiseite gelegt.; [1492: Siegbedingung, ]
18: Die 25 Aktionskarten werden gemischt und als verdeckter Zugstapel in die Tischmitte gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
19: Neben dem Zugstapel wird im Spielverlauf ein offener Ablagestapel entstehen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
20: Maren; []
