0: Die zwei Gewinner eines Stichs; []
1: Der Spieler der in der Trumpffarbe den höchsten Zahlenwert ausgespielt hat darf sich zuerst; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
2: Karten nehmen die in diesem Stich gespielt wurden er; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
3: muß sie nehmen!; []
4: Bei 4 Spielern nimmt er sich davon 2 beliebige Karten bei 5 und 6 Spielern nimmt er sich 3 beliebige Karten.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
5: Der Spieler der in einer Fremdfarbe den niedrig Zahlenwert gespielt hat erhält die übrigen Karten des Stichs; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
6: er muß sie nehmen!; []
7: Bei 4 und 5 Spielern erhält er 2 Karten und bei 6 Spielern erhält er 3 Karten.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
8: Beispiel Spieler spielt eine rote 10 Trumpffarbe Spieler; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
9: spielt eine gelbe 6 Fremdfarbe; [1292: Zufall, ]
10: Spieler spielt eine rote 14 Trumpffarbe Spieler; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
11: spielt eine blaue 2 Fremdfarbe; [1292: Zufall, ]
12: Spieler spielt eine gelbe 16 Fremdfarbe da zuvor bereits 3 Farben gespielt wurden durfte die vierte Farbe Grün nicht mehr gespielt werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, ]
13: Spieler Chat; []
14: die höchste Trumpffarbe rote 14 gespielt.; [1292: Zufall, 164466: Loswerden, ]
15: Er nimmt als erster und bekommt 3 Karten seiner Wahl.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
