0,der 98 Zahlenkarten werden gründlich mischen .,1
1,ich werden mischen und verdecken ( = Hasenseite nach oben ) als stapeln neben der Spielplan legen ) .,1
2,all Stein kommen in der beuteln und werden gut mischen .,1
3,"Dazu legen ich der Stein , der ich eintauschen wollen , beiseite und ziehen anschließen der entsprechend Anzahl an „ Austausch-Steinen “ blind aus der beuteln nach .",1
4,"wenn der beuteln leeren sein , können der Spieler nach der Legen der Stein kein neu Stein mehr nachziehen .",1
5,Nehmt 25 zufällig Wortkarten und legen ich in einer 5-mal-5-Raster auf der tischen aus .,1
6,Beim Mischen sollen man gelegentlich der Hälfte der Karte auf der ander Seite drehen .,1
7,Dadurch durchmischen sich der Begriff gut .,1
8,"der Geheimdienstchefs ziehen einen zufällig Codekarte und stecken ich in der Standfuß , sodass der karten zu ich zeigen .",1
9,der 6 ovalen Stanzteile ( der ORTE ) werden in zufällig Verteilung in der 6 Öffnung der Spielplans legen ( der Schrift zeigen nach außen ) .,1
10,"Rot , Blau , Grün .",1
11,jed stapeln werden einzeln mischen und dann verdecken am Spielfeldrand platziert .,1
12,der Charakterkarten jed Gruppe werden trennen mischen .,1
13,all verwenden Karte werden zusammen mischen und an jed Spieler werden 1 davon verdecken austeilen .,1
14,ich muss würfeln und mein Spielfigur bewegen .,1
15,Würfel und Spielfigur bewegen,1
16,der aktive Spieler werfen gleichzeitig beid würfeln .,1
17,ich addieren der beid Zahl und setzen mein Spielfigur auf der ORT mit der gewürfelt zahlen,1
18,( 6 ORTE geben ich ) .,1
19,der aktive Spieler ziehen der oberste verdecken Orakelkarte vom grün stapeln .,1
20,der aktive Spieler wählen einen opfern aus und werfen gleichzeitig beid würfeln .,1
21,"der aktive Spieler ermitteln per Würfelwurf , auf welch ORT ich mein Spielfigur ziehen .",1
22,"Wird der ORT würfeln , auf der der Spielfigur stehen , muss so oft würfeln werden , bis einen ander ORT erwürfelt werden .",1
23,der hundert Gästekärtchen werden im Stoffbeutel mischen .,1
24,"Anschließend ziehen jed Spieler , ohne hineinzusehen , jeweils fünf Gästekärtchen aus der beuteln und legen dies offen vor sich ab .",1
25,"Wer einen Gästekärtchen an der Bar ablegen haben , muss ebenfalls einen Kärtchen aus der beuteln nachziehen .",1
26,"der restlich Plättchen mischen ich und legen ich verdecken in mehrer Stapel so auf der tischen , dass jed Mitspieler leicht zugreifen können .",1
27,der Spieler muss immer genau 1 neu Landschaftsplättchen ziehen und mit einer Seite an der Spielfeld anlegen .,1
28,"der Plättchen , der ich ziehen haben , zeigen 3 Straße , der von einer Dorf ausgehen .",1
29,"wie immer ziehen ich erst einmal einen Plättchen , um ich anlegen .",1
30,"sollen der sehr seltene Fall eintreten , dass ich nicht anlegen können , legen der Plättchen in der Spielschachtel zurück und ziehen einen neu .",1
31,"Mischt der 34 Gängekarten und legen ich offen auf der frei Feld der Spielplans , so dass einen zufällig Labyrinth entstehen",1
32,Mischt auch der 24 Schatzkarten und verteilen ich gleichmäßig an all Spieler .,1
33,der Entwicklungskarten ( ➔ ) werden mischen und verdecken in der freie fachen der Kartenhalters legen .,1
34,"wenn du am Zug sein , würfeln du mit alle drei Würfel :",1
35,"Fall mein Würfelwurf sich überhaupt kein Zug ermöglichen , sein sofort der nächst Spieler am Zug – aber kein Panik :",1
36,der Zielfeld musst du nicht mit genau Augenzahl erreichen .,1
37,Dort dürfen du überzählig Würfelaugen verfallen lassen .,1
38,In kein ander Fall dürfen du Würfelaugen verfallen lassen .,1
39,"der Labyrinth-Kärtchen werden zunächst verdecken mischen und anschließen offen auf der frei Feld der Spielplans legen , so dass einen zufällig Labyrinth entstehen .",1
40,"der Mannschaft ziehen einen Concept-Karte und wählen ein begreifen von der listen , der der ander Spieler erraten sollen .",1
41,der Concept-Karten werden mischen und als verdeckt stapeln bereiten legen .,1
42,der Figur und würfeln werden in der schalen füllen :,1
43,Aufbau der verboten Insel :,1
44,der 24 Inselfelder werden mischen und entsprechen Abbildung 1 mit der bunt Seite nach oben in der Tischmitte zu einer Insel zusammenlegen .,1
45,Mischt nun der Tierkarten gut durch und legen ich als verdecken stapeln auf der tischen .,1
46,der neun teilen lassen sich auch in jed ander Position zusammensetzen .,1
47,Mischt der verdecken Hinweiskarten gut durch und legen 13 Hinweiskarten verdecken neben der Spielfeld .,1
48,der Palastkarten werden mischen und neben der Spielplan als verdeckt stapeln bereitgelegt .,1
49,"sein der stapeln aufbrauchen , werden der abgelegt Palastkarten mischen und als neu verdeckt stapeln bereitgelegt .",1
50,all Wegplättchen werden verdecken mit der Dschungelseite nach oben mischen .,1
51,der Bewegungskarten werden verdecken mischen und beginnen mit der Startspieler reihum vollständig an der Spieler verteilen .,1
52,ich werden gut mischen in der beuteln legen .,1
53,"Anschließend werden zufällig bestimmen , welch Spieler welch stapeln erhalten .",1
54,Anschließend werden der stapeln mischen und wieder auf mein Feld der Spielplans legen .,1
55,all Bildplättchen werden im Leinensack mischen .,1
56,"sein du an der reihen , nehmen du der Farbwürfel und würfeln .",1
57,"Dann suchen du aus der allgemein Vorrat ein zur gewürfelt Farbe passend Gegenstand aus und beginnen , mein Ritterleiter in sich Drachenfelshälfte zu bauen .",1
58,"Würfelst du gleichen zu beginnen der Spiel Grau , haben aber noch gar kein Gegenstand an sich Drachenfelshälfte stapeln , dürfen du sich ein beliebig Gegenstand aus der allgemein Vorrat nehmen und mit der Stapel beginnen .",1
59,"Diese werden trennen stapeln und jeweils verdecken mischen ( so , dass der Edelstein nicht zu sehen sein ) .",1
60,der link Nachbar der Spieler nehmen der würfeln in der Hand und machen sich bereiten .,1
61,"ich pusten aber nicht , sondern würfeln - und zwar reihum und so schnellen wie möglich .",1
62,Auf fünf Seite der Würfel sein Ausschnitt der fünf Landschaft zu sehen .,1
63,"all Mitspieler versuchen , der Landschaft zu würfeln , zu der der Spieler der schiffen pusten mögen - hier im Beispiel der grau Gebirge .",1
64,der 60 Karte werden gut mischen .,1
65,Mischt nun verdecken der vier Vogelscheuchenkarten und ziehen jed einen karten .,1
66,der alt Spieler mischen all Programmierkarten und verteilen an jed Spieler verdecken neun Karte auf der Hand .,1
67,all 60 Karte mischen,1
68,jed Spieler mischen seinen eigen Kartensatz ( lässt ich von mein recht Nachbar abheben ) * und legen ich als seinen Nachziehstapel verdecken vor sich ab .,1
69,Dann ziehen jed Spieler 5 Karte von mein Nachziehstapel .,1
70,"Mischt der Karte und legen drei davon zur Seite , ohne ich ansehen .",1
71,der übrig Karte legen mein als verdecken Kartenstapel in der Tischmitte .,1
72,Nach Rückseite trennen werden der Karte jeweils gut mischen .,1
73,Nun werden der Feuerwerkskarten gut mischen .,1
